developer,total_games,avg_price_usd,avg_positive_review_percentage,total_reviews
Vutune,13,1.09,84.66,103
Sunward Games,13,3.62,84.42,3154
NovaLogic,13,8.64,81.96,3437
Capcom,13,4.84,80.56,282919
QUByte Interactive,13,9.63,80.37,1272
Mature Games,13,0.58,79.46,3700
BioWare,13,6.09,79.38,220932
russpuppy,13,1.03,79.33,1338
Frozenbyte,13,5.73,78.88,95334
Crystal Game Works,13,3.42,77.89,631
GVR Training Computer Software,13,107.69,77.6,70
Orcsoft,13,12.16,77.38,511
Daily Magic Productions,13,4.07,76.78,186
Tim Rachor,13,0.9,76.56,166
Inu to Neko,13,4.2,76.06,622
Saber Interactive,13,9.49,75.23,265286
FURYU Corporation,13,27.66,74.87,3637
Airem,13,0.79,74.7,1015
AK Studio,13,4.35,73.56,849
IKIGames,13,6.35,73.31,52
Gamesforfarm,13,1.62,72.76,425
Targem Games,13,2.53,72.71,72066
Bossa Studios,13,4.58,72.16,37891
ARTDINK,13,17.51,71.89,6437
3dm_live_wallpapers,13,2.68,71.1,2112
GoldenGod Games,13,1.05,69.93,635
NeocoreGames,13,3.68,69.81,52553
Azurezero,13,4.17,69.47,29
Guilty Pleasure Games,13,0.54,68.39,2521
Artefacts Studio,13,5.07,66.57,51278
Black Phoenix Studio,13,3.28,65.91,73
echomune,13,1.69,65.84,74
AA Mini Games Studio,13,0.99,65.28,27
LunarCore Games,13,0.76,65.18,311
Gunnar Games,13,5.38,64.08,756
Amaterasu Software,13,0.62,62.81,3933
Sub Orbital Software,13,0.45,61.99,164
Anarchy Enterprises,13,2.21,61.29,1641
Shaman Games Studio,13,3.16,59.76,1428
Yamate,13,2.84,52.91,148
Boom Games,13,0.84,50.01,1192
Fury Games Production,13,3.22,44.53,165
Esemte Games,13,73.07,0.0,1
Cicada_Dancing,13,2.3,,0
ZangGames,13,2.45,,0
INOA GAMES,12,2.69,98.33,79
Waffle,12,19.51,97.41,98
Travellin Cats,12,0.78,97.33,5300
Kiepska Spółka,12,1.1,96.12,237
AVI Games,12,3.04,95.7,103
WINGLAY,12,3.06,95.56,29
Imagine,12,3.16,93.75,17
GirlGames,12,1.57,93.08,18742
ArchaeologyGames,12,199.99,91.48,46
grin robot,12,0.76,90.78,155
KOGADO STUDIO,12,19.7,90.37,2824
Accolade,12,2.27,90.17,583
The Revills Games,12,1.69,90.04,392
Klei Entertainment,12,5.25,89.95,786399
CCS,12,2.28,89.45,272
Hidden Cats,12,0.59,89.38,196
Team Emily,12,5.11,88.24,17
aNCHOR Inc.,12,14.74,87.92,6669
ASTRO PORT,12,2.89,87.34,1633
Strange Scaffold,12,9.04,86.56,8327
Notus Games Ltd,12,4.37,85.85,218
Chris Antoni,12,1.57,85.54,464
Hentai Room,12,4.79,83.33,6
Boomzap Entertainment,12,4.74,83.25,212
Resolution Games,12,9.58,82.87,3319
Sprovieri Games,12,1.24,82.73,367
Nacks Soft,12,0.79,82.67,73
Siberian Mouse,12,0.49,82.44,1527
FobTi interactive,12,2.27,82.11,646
Studio Six,12,2.49,81.98,156
Panda Indie Studio,12,2.83,81.33,1049
GCN,12,1.24,80.93,245
ROSEVERTE,12,5.54,80.84,571
Techland,12,6.96,80.15,741218
Studio Inward,12,2.32,79.96,282
Fasu Studio,12,2.95,79.64,245
JOZGamer,12,0.45,79.01,696
Serenity Forge,12,2.7,78.67,5264
Might and Delight,12,4.54,78.58,20761
Zeiva Inc,12,7.61,78.25,1852
Nival,12,4.16,77.43,21990
Treyarch,12,21.47,76.1,1274119
inXile Entertainment,12,5.88,75.69,39754
Sigma Team Inc.,12,1.87,74.53,14002
Performance Artist,12,0.95,72.32,898
Triority Interactive Novels,12,1.17,71.92,167
Urchin Games,12,4.7,70.68,449
SaintHeiser,12,0.0,69.56,502
Arcen Games,12,3.78,68.79,7318
HandyGames,12,2.11,67.69,2853
Dead Drop Studios LLC,12,5.42,66.74,761
Tbjbu2,12,4.05,65.75,434
Little Black Book Entertainment,12,3.66,65.65,97
VALOFE,12,0.0,65.04,130499
MATRE,12,1.75,61.9,20
M9 Games,12,1.89,61.39,248
pengjianNiu,12,1.64,61.28,25
SP GAMES,12,0.96,61.27,183
OnSkull Games,12,1.76,61.19,4972
TML-Studios,12,7.33,61.17,23547
City Interactive S.A.,12,0.99,60.5,1707
upjers,12,1.0,59.42,3325
Chun Y.,12,1.16,57.62,193
QuickSave,12,0.66,57.44,594
BRAVEGIANT LTD,12,5.23,54.78,54
Jujubee S.A.,12,9.72,51.04,3100
ALPHY,12,0.58,50.0,2
ima shouganai,12,1.99,48.0,31
CasGames,12,1.24,47.86,478
RSK Entertainment,12,2.52,35.66,242
GamesBraz,12,0.49,29.45,83
HEG Games,12,9.99,27.98,69
DreamlessHero,12,0.57,26.67,16
CritoGames,12,2.49,,0
Jhinbrush,12,1.72,,0
NSFW18 Games,12,2.24,,0
Utsukushii Games,12,0.57,,0
Green Goose Corporation,11,0.61,100.0,1
MagicHouse,11,6.46,100.0,2
NecroCatic Games,11,2.1,100.0,49
Red Sasori,11,2.06,100.0,1
Devcats,11,1.87,98.73,13574
Blam! Games,11,4.99,98.57,48
Puzzles by Joe,11,4.63,95.69,105
VisualArts/Key,11,11.26,95.07,23248
&y,11,0.45,93.57,39
Colossus Game Studio,11,0.83,93.24,179
Blue Tea Games,11,4.99,93.18,507
AMG GAMES,11,3.54,91.25,345
Gagonfe,11,2.06,91.12,2005
Studio Goya,11,4.35,90.76,1470
MDickie,11,4.92,90.09,4722
LH Games Limited,11,1.26,90.0,14
EleFun Games,11,4.99,89.83,95
Daniele Doesn't Matter,11,5.39,89.49,511
Bad Kid Games,11,4.99,89.24,118
David Szymanski,11,2.99,89.22,43980
Konstructors,11,0.76,88.6,9947
VOODOO,11,1.58,88.18,440
Ninja Kiwi,11,0.74,86.85,419834
Ludosity,11,5.9,86.75,15473
Flat Cat Games,11,1.63,86.07,1399
